Date,Close,High,Low,Open,Volume
23-09-2009,22.75,22.75,22.75,22.75,0
25-09-2009,23.37,23.37,23.37,23.37,0
28-09-2009,24.09,24.09,24.09,24.09,0
29-09-2009,23.2,23.2,23.2,23.2,0
30-09-2009,23.24,23.24,23.24,23.24,0
01-10-2009,23.44,23.44,23.44,23.44,0
02-10-2009,24.01,24.01,24.01,24.01,0
05-10-2009,24.15,24.15,24.15,24.15,0
06-10-2009,23.42,23.42,23.42,23.42,0
07-10-2009,22.96,22.96,22.96,22.96,0
08-10-2009,22.31,22.31,22.31,22.31,0
09-10-2009,21.72,21.72,21.72,21.72,0
